Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Austria,AUT,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.57199746,11.24384419,11.94681567,11.87383482,12.19208395,11.98285244,11.54036839,11.86813113,12.08832823,12.54538115,13.01494926,12.47291352,12.56588626,11.98732192,12.13535209,12.08816793,12.46458323,13.07722224,13.18553996,13.43567499,12.79706735,13.55953504,13.7125366,13.5231317,14.06544991,13.91307705,,,,,,
Azerbaijan,AZE,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.411675492,2.417176056,2.308782546,1.981261091,1.753002517,1.645485446,1.972246842,2.1658395,2.295032512,2.650416588,2.849099116,3.090408362,3.348512015,3.508545605,3.645174988,4.441732858,6.061894922,8.277518181,8.335368147,10.16804002,11.0055954,10.16089863,9.52372438,9.94006774,9.898249004,,,,,,,
Burundi,BDI,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.382101113,7.19609477,7.226616694,7.33047294,7.130759382,7.17283829,6.901276423,7.162608033,7.183886773,7.408731745,7.588890766,7.693686781,8.141880914,7.899947446,8.142420618,8.341503158,8.63040825,9.104503555,8.877446427,9.056874341,8.660131671,9.456378936,9.949652485,9.645810834,10.35393588,10.55005231,,,,,,
Benin,BEN,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.518482028,6.691825433,6.723818077,6.952792038,6.942348476,7.20395149,6.454056147,6.577408687,6.932016904,7.000174115,8.582019497,8.500057532,8.29180635,8.13275907,8.134958321,8.245255806,7.26338,7.08051933,7.26581855,7.085724745,6.810517645,6.82476279,6.905209107,7.081645014,7.139927442,,,,,,,
Burkina Faso,BFA,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.55547772,15.28142594,15.26574529,15.13981058,15.05940427,14.55038942,15.11893052,15.1225564,15.25740928,15.76085613,16.03832663,15.40625257,15.62356506,15.52972886,16.0464208,16.46337104,16.39098388,16.7962925,16.96506961,16.9393067,16.51244533,16.94579061,17.2017921,17.85709032,18.13700983,,,,,,,
Bulgaria,BGR,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86356686,4.559326228,4.524231511,4.156415685,4.364593228,4.137137738,4.376523188,4.146557202,4.472104882,4.480315402,4.61245798,4.595010285,4.992564945,5.12687352,5.614107258,5.689257068,5.909756951,6.409901192,6.89531715,7.555332265,7.514627553,7.130527437,7.524454933,8.119429517,7.750404549,,,,,,,
Bahrain,BHR,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.657009104,4.132264951,4.007284645,4.29166972,4.027415387,4.133501578,4.30483463,3.936947329,3.926648037,4.133491577,4.12103948,4.110175889,4.096724964,4.104681563,4.3746161,4.067743607,4.042539107,4.183806807,4.100365989,4.329096674,4.369173764,4.454638788,4.662296973,4.5039981,4.548752514,,,,,,,
"Bahamas, The",BHS,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.11744925,,,,,,,,,,,,,,19.08131518,18.82208693,19.02249959,19.21604993,,,,,,,,,,,,,,
