Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antigua and Barbuda,ATG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1825.62565,1947.152533,2012.660585,2211.689498,2417.211427,2625.219529,2765.084542,2969.48894,3102.006828,3329.609394,3609.978412,3751.642576,3880.928891,4230.343797,4578.882169,4781.616641,4901.589111,5251.197858,5416.283605,5665.977677,5915.260005,6154.888409,6388.660564,6356.005974,6684.343438,6994.16125,7309.117356,7525.697752,7800.5517,8129.09589,8527.214094,8522.141472,8558.334218,8717.645239,8837.004453,9027.88477,9151.392717,9338.471176,9837.816667,10097.13663,10260.44624,10712.69536,10899.75435,10527.29419,10657.90212,10571.42534,10617.15129,10972.88015,10749.11106,10791.61648,10726.92818,10627.29387,10407.74031,10220.8873,10071.39898,,,,,,,
Austria,AUT,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1814.676017,1882.223711,2006.770396,2124.359184,2232.896504,2305.357708,2375.012735,2448.692544,2608.624238,2814.654642,3019.116159,3213.126836,3404.469208,3620.56204,3769.029711,3734.445473,4068.190905,4137.714163,4335.053929,4541.537932,4684.45776,4697.365866,4730.570071,4827.484062,5070.995793,5280.77716,5321.412974,5536.144154,5716.834247,5896.135568,6111.47652,6347.220096,6227.498049,6137.269463,6205.804904,6344.393087,6607.222977,6620.447862,6706.708677,6972.189816,7076.269483,7333.231953,7427.656445,7695.080037,7808.157792,7977.681597,8244.401952,8207.474739,8233.014833,7944.796096,8382.711154,8425.167753,8548.882199,8509.61158,8355.841952,,,,,,,
Azerbaijan,AZE,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2569.823838,2631.028839,2276.061528,2119.736351,1961.943251,1952.022486,1852.891923,1813.670143,1936.939214,2022.485985,2040.47909,2106.470066,1996.708252,2235.459856,2281.947872,2388.388734,2552.286214,2118.210528,2040.760435,1620.38742,1603.431374,1705.424633,2052.650965,2092.536521,2202.393918,,,,,,,
Burundi,BDI,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1576.338815,1627.51357,1753.143892,1880.993824,2062.994976,2163.960334,2255.188418,2357.58493,2596.177718,2830.593969,3031.521046,3217.045264,3612.355533,3941.603741,4134.390881,3887.477425,4247.40638,4404.824321,4623.389685,4906.085081,4893.885351,4910.953281,4904.070015,5043.975356,5285.543762,5502.668409,5617.419822,5876.962998,6057.062732,6205.76377,6380.31322,6655.414381,6850.663773,6881.072143,7176.240507,7379.737079,7527.688545,7701.612131,7913.05858,7944.129807,8247.677113,8267.187216,8311.892679,8411.900657,8576.223497,8509.997073,8683.671285,8614.679503,8521.49674,7903.955479,8393.949623,8028.798731,7988.524644,7989.671853,7709.123078,,,,,,,
Benin,BEN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,10.3614159,11.40536965,17.97123363,16.35731154,17.46232208,18.78434103,20.58394103,44.81805656,24.11320991,26.8653205,30.95214114,17.01861071,35.47862341,31.44602813,32.35622072,30.10074742,29.85846873,34.97788735,32.73302702,33.89553824,35.70722794,37.92752289,37.85368883,37.98497956,40.85000424,43.68248155,47.12678483,44.04494833,50.96788154,57.01610298,60.31579687,67.00949153,63.45303588,69.03493218,72.27509102,73.42938182,77.93924925,84.32073362,85.69079317,92.95225028,89.03620874,90.47263263,93.90099459,97.1281349,,,,,,,
Burkina Faso,BFA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,10.3837294,10.23841003,14.64618266,16.14853206,16.21143785,16.50954018,17.49473635,20.63555252,20.27881206,18.13421019,21.67028674,24.48186747,27.86519502,30.65187712,31.69058517,35.97168203,37.50612398,40.64706822,48.56346246,47.93385531,48.73546214,58.62206144,65.36837641,69.30768114,76.48989453,80.41584804,82.45709457,87.62331105,95.96478947,103.3644718,113.7612587,121.4628085,127.7698928,163.1604933,173.7318149,194.5819776,203.9949316,205.932668,224.8430049,245.9041709,263.9819899,281.4439959,299.4803504,317.24537,,,,,,,
Bulgaria,BGR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,2292.653983,2486.06609,2683.109679,2842.231221,3035.636188,3247.551349,3437.797692,3648.387027,3772.289411,3973.690788,4125.353429,4397.890565,4582.125337,4772.2946,4678.285823,4646.260939,4838.620325,4940.518487,4963.178886,4758.731903,4361.144516,3735.525454,3807.696906,3825.386616,4211.125131,4350.443259,3970.131139,3932.401784,3613.367267,3673.606871,3859.090025,3853.819004,3997.902596,3971.822736,4165.180392,4366.912765,4523.322878,4674.503151,4483.747139,4560.414917,4863.691441,4761.912583,4639.706323,4708.927458,,,,,,,
